id,url,nombre,precio,precio_por,marca,categoria,imagen
prod460687,https://www.carrefour.es/supermercado/ginebra-beefeater-pink-strawberry-70-cl/R-prod460687/p,Ginebra Beefeater pink strawberry 70 cl.,15.69,22.41 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/827746_00_1.jpg
VC4AECOMM-471517,https://www.carrefour.es/supermercado/ginebra-puerto-de-indias-mango-70-cl/R-VC4AECOMM-471517/p,Ginebra Puerto de Indias mango 70 cl.,17.89,25.56 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/471517_00_1.jpg
VC4AECOMM-568130,https://www.carrefour.es/supermercado/ginebra-seagrams-1-l/R-VC4AECOMM-568130/p,Ginebra Seagram's 1 l.,25.1,25.10 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/568130_00_1.jpg
VC4AECOMM-646148,https://www.carrefour.es/supermercado/ginebra-tanqueray-sin-alcohol-00-70-cl/R-VC4AECOMM-646148/p,"Tanqueray 0,0",18.25,26.07 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/646148_00_1.jpg
VC4AECOMM-681253,https://www.carrefour.es/supermercado/ginebra-puerto-de-indias-premium-strawberry-1-l/R-VC4AECOMM-681253/p,Ginebra Puerto de Indias premium strawberry 1 l.,22.7,22.70 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/681253_00_1.jpg
VC4AECOMM-206079,https://www.carrefour.es/supermercado/ginebra-puerto-de-indias-sweet-melon-70-cl/R-VC4AECOMM-206079/p,Ginebra Puerto de Indias sweet melón 70 cl.,17.89,25.56 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/206079_00_1.jpg
VC4AECOMM-231782,https://www.carrefour.es/supermercado/gintonic-flor-de-sevilla-tanqueray-250-ml/R-VC4AECOMM-231782/p,Gin&Tonic Flor de Sevilla Tanqueray 250 ml.,2.95,11.80 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/231782_00_1.jpg
VC4AECOMM-017446,https://www.carrefour.es/supermercado/ginebra-london-dry-old-thames-15-l/R-VC4AECOMM-017446/p,"Ginebra London Dry Old Thames 1,5 l.",12.69,8.46 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/017446_00_1.jpg
521009386,https://www.carrefour.es/supermercado/ginebra-gordons-1-l/R-521009386/p,Ginebra Gordon's 1 l.,16.99,16.99 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/043483_00_1.jpg
814100151,https://www.carrefour.es/supermercado/ginebra-larios-rose-premium-70-cl/R-814100151/p,Ginebra Larios Rosé premium 70 cl.,16.05,22.93 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/935180_00_1.jpg
VC4AECOMM-316912,https://www.carrefour.es/supermercado/ginebra-beefeater-00-sin-alcohol-70-cl/R-VC4AECOMM-316912/p,"Ginebra Beefeater 0,0 sin alcohol 70 cl.",15.19,21.70 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/316912_00_1.jpg
VC4AECOMM-231781,https://www.carrefour.es/supermercado/gintonic-00-london-dry-tanqueray-sin-alcohol-lata-250-ml/R-VC4AECOMM-231781/p,"Gin&Tonic 0,0 London dry Tanqueray sin alcohol lata 250 ml.",2.95,11.80 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/231781_00_1.jpg
VC4AECOMM-270445,https://www.carrefour.es/supermercado/ginebra-bulldog-1-l/R-VC4AECOMM-270445/p,Ginebra Bulldog 1 l.,33.8,33.80 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/270445_00_1.jpg
VC4AECOMM-019562,https://www.carrefour.es/supermercado/ginebra-puerto-de-indias-exotic-blackberry-70-cl-2-miniaturas-ginebra-puerto-de-indias-fresas/R-VC4AECOMM-019562/p,Ginebra Puerto de Indias exotic blackberry 70 cl + 2 miniaturas Ginebra Puerto de Indias fresas,17.89,25.56 €/l,,Ginebra,https://static.carrefour.es/hd_350x_/img_pim_food/019562_00_1.jpg
